Item,Description,Brand,Packaging,Ship,Weight,Volume,Qty Break,Price
11607416,Grated Coconut -F-,Asian Best,28x16 OZ,CS,30.00,0.03,0,85.00
11607417,Grated Coconut -F-,Asian Best,24x16 OZ,CS,26.00,0.03,0,72.50
11607418,Scraped Coconut -F-,Asian Best,36x8 OZ,CS,20.00,0.03,0,65.75
11607419,Scraped Coconut -F-,Asian Best,36x8 OZ,CS,20.00,0.03,0,64.25
11607420,Coconut Milk -F-,Asian Best,80x8 OZ,CS,45.00,0.04,0,130.00
11607426,Grated Cassava -F-,Asian Best,30x16 OZ,CS,32.00,0.03,0,75.00
11607428,Grated Cassava -F-,Asian Best,30x16 OZ,CS,32.00,0.03,0,69.00
11607502,Bai Ya Nang -F-,Asian Best,36x4 OZ,CS,12.00,0.03,0,51.75
11607504,Look Niang -F-,Asian Best,28x1 LB,CS,31.00,0.04,0,73.00
11607506,Cha-Om (Acasia Pennata) -F-,Asian Best,36x8 OZ,CS,21.00,0.04,0,83.50
11607508,SA-TOR (Parkia Speciosa) -F-,Asian Best,36x4 OZ,CS,10.50,0.01,0,73.75
11607514,Sadao/Margosa -F-,Asian Best,36x8 OZ,CS,22.00,0.05,0,64.00
11607524,Red Chilli -F-,Asian Best,60x4 OZ,CS,17.00,0.03,0,69.75
11607526,Fresh Thai Chili (8 OZ) -F-,Asian Best,30x8 OZ,CS,18.00,0.03,0,67.75
11607540,Pennywort Drink -F-,Asian Best,60x8 OZ,CS,35.00,0.03,0,55.50
11607600,Galanga (Whole) -F-,Asian Best,36x8 OZ,CS,20.00,0.03,0,49.75
11607601,Galanga Sliced (Spice) -F-,Asian Best,36x8 OZ,CS,20.60,0.03,0,52.00
11607602,Rhizome Whole (Spice) -F-,Asian Best,36x8 OZ,CS,20.60,0.04,0,71.50
11607603,Rhizome Sliced -F-,Asian Best,36x8 OZ,CS,23.00,0.04,0,77.00
11607610,Pandan Leaf -F-,Asian Best,36x4 OZ,CS,11.00,0.04,0,34.75
11607912,Fried Fish Cake -F-,Asian Best,16x7 OZ,CS,9.00,0.01,0,49.25
11607914,Fried Shrimp Cake -F-,Asian Best,16x7 OZ,CS,9.00,0.01,0,72.75
11607916,Chive Dumpling -F-,Asian Best,24x12.7 OZ,CS,22.00,0.03,0,67.75
11607920,Kao Tom Mud Banana  -F-,Food hut,30x11.28 OZ,CS,29.00,0.03,0,76.00
11607921,Kao Tum Mud Taro -F-,Food hut,30x11.28 OZ,CS,29.00,0.03,0,79.00
11607925,Sweet Rice & Mung Bean Dessert -F-,Asian Best,12x10.5 OZ,CS,12.00,0.03,0,66.75
11607926,Kao Neo Ping (Banana) -F-,Asian Best,24x8.5 OZ,CS,18.00,0.03,0,65.75
11607928,Kao Neo Ping (Taro) -F-,Asian Best,24x8.5 OZ,CS,18.00,0.03,0,69.75
11607930,Banana Dessert Dumpling (Premium) -F-,Asian Best,24x4 PC,CS,24.00,0.03,0,67.75
11607931,Taro Dessert Dumpling (Premium) -F-,Asian Best,24x4 PC,CS,24.00,0.03,0,68.75
11607932,Durian Dessert Dumpling (Premium) -F-,Asian Best,15x4 PC,CS,15.00,0.01,0,73.75
11607934,Mushroom Dumpling -F-,Asian Best,24x12.7 OZ,CS,22.00,0.03,0,74.75
11607935,Chive Cake (Square) -F-,Asian Best,24x15.86 OZ,CS,27.00,0.03,0,75.00
11607938,Fried Cuttlefish Cake -F-,Asian Best,16x7 OZ,CS,9.00,0.01,0,63.75
11607939,Coconut Pudding with Pandan -F-,Asian Best,30x7 OZ,CS,38.00,0.04,0,108.00
11607941,Coconut Pudding -F-,Asian Best,30x7 OZ,CS,38.00,0.04,0,106.00
11607950,Kanom Chun -F-,Asian Best,32x14 OZ,CS,31.00,0.03,0,62.00
11700400,Premium Rice Bran Oil 100% (0.5 L),Gamma One,12x16.9 FL.OZ,CS,14.00,0.01,0,25.75
,,,,,,,3,24.54
11700401,Premium Rice Bran Oil 100% (1 L),Gamma One,12x33.8 FL.OZ,CS,28.00,0.02,0,44.00
,,,,,,,3,42.81
11700402,Premium Rice Bran Oil 100% (2 L),Gamma One,6x67.6 FL.OZ,CS,26.00,0.02,0,40.50
,,,,,,,3,39.33
11700403,Premium Rice Bran Oil 100% (20 L),Gamma One,1x676 FL.OZ,CS,44.00,0.03,0,59.00
11707000,Fragrant Mango With Sticky Rice -F-,Asian Best,12x7 OZ,CS,7.00,0.01,0,28.75
11707001,Durian with Sticky Rice -F-,Asian Best,12x6.35 OZ,CS,7.00,0.01,0,29.25
11807200,Frozen Layang/ Mackeral Scad (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,58.00
11807201,Frozen Yellow Stripe Trevally (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,63.00
11807202,Frozen Big Eye Scad (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,63.00
11807203,Frozen Threadfin Bream Fish (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,68.50
11807204,Frozen Snakehead Murrel Whole -F-,Asian Best,1x22 LBS,CS,26.00,0.03,0,81.00
11807205,Frozen Barramundi/ White Snapper Whole -F-,Asian Best,1x22 LBS,CS,26.00,0.03,0,106.00
11807207,Farm Raised Red Tailed Tinfoil -F-,Asian Best,20x16 OZ,CS,22.00,0.03,0,0.00
11807208,Frozen Climbing Perch -F-,Asian Best,20x1 LB,CS,25.00,0.04,0,69.00
11807209,Farm Raised Black Tilapia -F-,Asian Best,1x23 LBS,CS,25.00,0.03,0,51.75
11807210,Wild Caught Yellowtail Scad -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,70.25
11807211,Farm Raised Snakehead Murrel Steak -F-,Asian Best,20x1 LB,CS,25.00,0.04,0,90.75
11807212,Farm Raised Goby Fish -F-,Asian Best,20x1 LB,CS,24.00,0.03,0,94.00
11807213,Farm Raised Red Tilapia -F-,Asian Best,1x24 LBs,CS,27.00,0.03,0,78.00
11900010,Oyster Brand Fish Sauce,Oyster,12x700 ML,CS,36.00,0.03,0,24.50
,,,,,,,3,24.21
,,,,,,,10,23.91
,,,,,,,56,23.30
11900015,Oyster Brand Fish Sauce (Table),Oyster,24x200 ML,CS,25.00,0.02,0,21.25
11900020,Tips Fish Sauce (23 fl.oz) Plastic,Tips,12x23 FL.OZ,CS,24.00,0.02,0,16.00
,,,,,,,3,15.36
11900022,Tips Fish Sauce(25 FL.OZ) Plastic,Tips,12x25 FL.OZ,CS,25.00,0.02,0,16.75
,,,,,,,3,16.11
,,,,,,,10,15.46
11900025,Cacom Fish Sauce (25 FL.OZ) Plastic,Cacom,12x25 FL.OZ,CS,25.00,0.02,0,15.75
,,,,,,,3,15.45
11900030,Cacom Fish Sauce (25 FL.OZ) Glass,Cacom,12x25 FL.OZ,CS,35.00,0.02,0,19.00
11900050,Nam Hai Fish Sauce,Nam Hai,12x25.36 FL.OZ,CS,35.00,0.02,0,26.00
11900070,Sweet Soy Sauce,Soyking,12x21.30 FL.OZ,CS,32.00,0.02,0,29.50
11900071,Thin Soy Sauce,Soyking,12x21.30 FL.OZ,CS,30.00,0.02,0,24.50
11900072,Black Soy Sauce,Soyking,12x21.30 FL.OZ,CS,32.00,0.02,0,29.50
11900080,Fish Sauce (Cooking),La Mer Du Sud,12x25.36 FL.OZ,CS,38.00,0.03,0,25.00
11900081,Fish Sauce (Dipping),La Mer Du Sud,12x25.36 FL.OZ,CS,40.00,0.03,0,32.50
11900100,Pickled Mustard (Vac Bag),Asian Best,36x10 OZ,CS,26.00,0.02,0,27.50
,,,,,,,5,26.90
,,,,,,,10,25.66
12003104,Tempura Seaweed Original Japanese Style,Taokaenoi,12x40 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003105,Tempura Seaweed Smokes BBQ Flavour,Taokaenoi,12x40 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003106,Tempura Seaweed Spicy Flavour,Taokaenoi,12x40 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003110,Crispy Seaweed Original Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003111,Crispy Seaweed Wasabi Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003112,Crispy Seaweed Hot & Spicy Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003113,Crispy Seaweed Tom Yum Goong Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003114,Crispy Seaweed Sriracha Chilli Sauce Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003117,Crispy Seaweed Mala Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.64
12003130,Grilled Seaweed Super Crisp Classic Flavour,Taokaenoi,12x24 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.66
12003131,Grilled Seaweed Super Crisp Hot Chilli Squid Flavour,Taokaenoi,12x24 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.66
12003132,Grilled Seaweed Super Crisp Kim Chi Flavour,Taokaenoi,12x24 G,CS,2.00,0.02,0,20.25
,,,,,,,3,19.66
12003135,Grilled Seaweed Roll Classic Flavour,Taokaenoi,12x18 G,CS,3.00,0.02,0,20.25
12003137,Grilled Seaweed Roll Spicy Flavour,Taokaenoi,12x18 G,CS,3.00,0.02,0,20.25
12003139,Grilled Seaweed Roll BBQ Flavour,Taokaenoi,12x18 G,CS,2.00,0.02,0,20.25
12003140,Crispy Seaweed Original Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,18.25
12003141,Crispy Seaweed Wasabi Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,18.25
12003142,Crispy Seaweed Hot&Spicy Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,18.25
12003143,Crispy Seaweed Tom Yum Goong Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,18.25
12003170,Tempura Seaweed w/Sesame Classic Flavour,Taokaenoi,12x39 G,CS,2.00,0.02,0,20.25
12003171,Tempura Seaweed Mushroom & Black Pepper Flavour,Taokaenoi,12x40 G,CS,2.00,0.02,0,20.25
12003180,Furikake Crispy Seaweed with Original Sesame,Taokaenoi,24x60 G,CS,7.00,0.03,0,78.25
12100150,Sweet Chilli Sauce (L),Mae Sri,12x720 ML,CS,38.00,0.03,0,38.00
12100152,Sweet Chilli Sauce (S),Mae Sri,12x290 ML,CS,17.00,0.01,0,20.25
,,,,,,,2,18.89
,,,,,,,5,17.56
12100153,Spring Rolls Sauce (L),Mae Sri,12x720 ML,CS,38.00,0.03,0,38.50
12100154,Spring Rolls Sauce (S),Mae Sri,12x290 ML,CS,17.00,0.01,0,20.75
,,,,,,,2,19.36
,,,,,,,5,17.99
12100155,Suki Yaki Sauce (L),Mae Sri,12x720 ML,CS,34.00,0.03,0,53.50
12100156,Suki Yaki Sauce (S),Mae Sri,12x290 ML,CS,16.00,0.01,0,23.25
12100158,Seafood Sauce,Mae Sri,12x290 ML,CS,16.00,0.01,0,23.25
12100159,Spring Rolls Sauce (XL),Mae Sri,2x169 FL.OZ,CS,29.00,0.02,0,42.50
12100160,Sweet Chilli Sauce (XL),Mae Sri,2x169 FL.OZ,CS,31.00,0.02,0,42.50
12100200,Red Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
,,,,,,,10,46.39
,,,,,,,30,45.83
12100202,Green Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
,,,,,,,10,46.39
,,,,,,,30,45.83
12100204,Panang Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
,,,,,,,10,46.39
,,,,,,,30,45.83
12100206,Masaman Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
,,,,,,,10,46.39
,,,,,,,30,45.83
12100208,Karee Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
,,,,,,,10,46.39
,,,,,,,30,45.83
12100210,Yellow Sour Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
12100212,Sour Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,47.00
